Congruent(C),Incongruent(I),,Difference = (I-C),,Mean of the differences,,,,,,
12.079,19.278,,7.199,,-7.964791667,,0.586756,,23.66654091,,
16.791,18.741,,1.95,,,,36.180225,,4.864826915,,-8.028883046
9.564,21.214,,11.65,,,,13.579225,,,,
8.63,15.687,,7.057,,,,0.824464,,,,
14.669,22.803,,8.134,,,,0.028561,,,,
12.238,20.878,,8.64,,,,0.455625,,,,
14.692,24.572,,9.88,,,,3.667225,,,,
8.987,17.394,,8.407,,,,0.195364,,,,
9.401,20.762,,11.361,,,,11.532816,,,,
14.48,26.282,,11.802,,,,14.722569,,,,
22.328,24.524,,2.196,,,,33.281361,,,,
15.298,18.644,,3.346,,,,21.335161,,,,
15.073,17.51,,2.437,,,,30.558784,,,,
16.929,20.33,,3.401,,,,20.830096,,,,
18.2,35.255,,17.055,,,,82.6281,,,,
12.13,22.158,,10.028,,,,4.255969,,,,
18.495,25.139,,6.644,,,,1.745041,,,,
10.639,20.429,,9.79,,,,3.330625,,,,
11.344,17.425,,6.081,,,,3.549456,,,,
12.369,34.288,,21.919,,,,194.714116,,,,
12.944,23.894,,10.95,,,,8.910225,,,,
14.233,17.96,,3.727,,,,17.960644,,,,
19.71,22.058,,2.348,,,,31.550689,,,,
16.004,21.157,,5.153,,,,7.907344,,,,
